KEYCLI|CLIE_CODIGO|NOMBRE
001174620|900010883|RENTAS E INVERSIONES GUARA NOR TE LTDA
001174630|900010884|C.C. JENSEN S.L. LTDA.
650175000|900010885|SOC. COM. E INVERSIONES MALCOR LTDA.
260174030|900010893|CONSTRUCTORA P55 ICONO ANTOFAG ASTA S.A
260173310|900010900|ANTOFAGASTA TERMINAL INTERNACI ONAL S.A
280150500|900010910|ACTIVA POP MERCHANDISING PUNTO DE VTA LT
260148770|900010919|ING. Y CONSTRUCCION MAS ERRAZU RIZ LTDA
240148770|900010921|ING. Y CONSTRUCCION MAS ERRAZU RIZ LTDA
690473600|900010927|ARTICULOS DE SEGURIDAD MASPROT SOC COMER
770161340|900010928|BANDA DISPLAY LTDA
530141110|900010929|COMERCIAL E INVERSIONES SERRANO S.A
230176850|900010937|CENTRAL DE COMPRAS DEL EXTRASI STEMA S.A
500173170|900010938|IAN TAYLOR CHILE S.A.
290173590|900010941|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
690173590|900010942|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
540173590|900010943|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
190173590|900010944|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
270173590|900010945|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
690176780|900010946|HEBLES GAJARDO HECTOR RENE
600171260|900010957|PATUELLI Y CIA LTDA
500165990|900010958|REUTTER S A
770165990|900010959|REUTTER S A
770626000|900010965|SOCIEDAD INDUSTRIAL KUNSTMANN SA
650143920|900010967|KAUFMANN S.A. VEHICULOS MOTORI ZADOS
660143920|900010968|KAUFMANN S.A. VEHICULOS MOTORI ZADOS
690143920|900010970|KAUFMANN S.A. VEHICULOS MOTORI ZADOS
730143920|900010971|KAUFMANN S.A VEHICULOS MOTORIZ ADOS
190153810|900010972|RHEIN CHILE S.P.A
290133620|900010973|PRODUCTOS INDUSTRIALES S.A.
760151910|900010974|MALBEC COMERCIAL Y REPUESTOS S .A
800052612|900010979|LABORATORIO DURANDIN S A I
260165480|900010980|CONFITES MERELLO S.A.
240175400|900010987|SACYR CHILE S.A
230175400|900010988|SACYR CHILE S.A
500544500|900010990|CARGO FREIGHT STATION CHILE S. A.
540544500|900010991|CARGO FREIGHT STATION CHILE S. A.
770143920|900010999|KAUFMANN S.A. VEHICULAS MOTORI ZADOS
660144280|900011001|CHILEMAT SPA
810143920|900011003|KAUFMANN S.A. VEHICULOS MOTORI ZADOS
240176190|900011005|ARRIENDO DE MAQUINARIAS Y VEHI CULOS ING
230176190|900011006|ARRIENDO DE MAQUINARIAS Y VEHI CULOS ING
500140520|900011007|VERDEJO Y VERDEJO LTDA.
280148790|900011017|ING. Y CONSTRUCCION MAS ERRAZU RIZ S.A.
220165980|900015083|PERFECT TECHNOLOGY CHILE S.A.
530174970|900015084|VIGATEC S.A.
690380000|900015085|DISTRIBUIDORA DE RODAMIENTOS LIMITADA
001037487|900015094|PLANIFIK CONSULTORIAS LTDA.
680176380|900015105|COMERCIALIZADORA DE PRODUCTOS E INSUMOS
710176380|900015106|COMERCIALIZADORA DE PRODUCTOS E INSUMOS
690176380|900015107|COMERCIALIZADORA DE PRODUCTOS E INSUMOS
260147200|900015108|FARMALATINA LTDA
650143101|900015109|HAYDEE VIDAL Y CIA. LTDA.
820604900|900015112|PROMOTORA DE BELLEZA S.A
750380000|900015143|DISTRIBUIDORA DE RODAMIENTOS LIMITADA
220387500|900015151|COOP AGRICOLA LECHERA SANTIAGO LTDA
300387500|900015153|COOP AGRICOLA LECHERA SANTIAGO LTDA
750046075|900015155|SERVICIOS CORDILLERA LIMITADA
680151740|900015157|APL LOGISTICS JOHNSON  JOHN SON
500142880|900015158|GEMCO GENERAL MACHINERY S.A
001014802|900015165|DISTRIBUIDORA KOSLAN SPA
650387500|900015173|COOP AGRICOLA LECHERA SANTIAGO LTDA
190045491|900015174|RETORNO DOCUMENTAL CRD
200045491|900015175|RETORNO DOCUMENTAL CRD
220045491|900015176|RETORNO DOCUMENTAL CRD
230045491|900015178|RETORNO DOCUMENTAL CRD
290166760|900015180|RETORNO DOCUMENTAL CTAS NACION ALES
690387500|900015197|COOP AGRICOLA LECHERA SANTIAGO LTDA
240387500|900015198|COOP AGRICOLA LECHERA SANTIAGO LTDA
660327000|900015199|TAYLOR Y MONTGOMERY LIMITADA
001052884|900015202|EMPRESAS DEMARIA S.A.
001028813|900015204|COMPANIA CHILENA DE MEDICION S
290375500|900015206|PURATOS DE CHILE SPA
660375500|900015211|PURATOS DE CHILE SPA
540387500|900015214|COOP AGRICOLA LECHERA SANTIAGO LTDA
520387500|900015215|COOP AGRICOLA LECHERA SANTIAGO LTDA
600387500|900015216|COOP AGRICOLA LECHERA SANTIAGO LTDA
730387500|900015217|COOP AGRICOLA LECHERA SANTIAGO LTDA
260375500|900015220|PURATOS DE CHILE SPA
680133620|900015234|PRODUCTOS INDUSTRIALES S.A.
650051268|900015239|SERVIMET S.A.
240046372|900015243|ESPARCIMIENTO Y TURISMO S.A
610387500|900015260|COOP AGRICOLA LECHERA SANTIAGO LTDA
650105680|900015264|TECNORED S.A.
780046933|900015265|ANA MARIA MILLAR CURIHUAL
200537700|900015286|AGROINDUSTRIAL LAS TRES ERRE L TDA.
740056006|900015287|CONSTRUCTORA MADMASS LIMITADA
810559300|900015288|ALIMENTOS PANCHO VILLA S.A.
770141210|900015289|SERVICIO AUTOMOTRICES ANSA LTDA.
001177290|900015291|OLLER Y CIA LTDA
280375900|900015299|COMERCIAL BOOKS AND BITS LTDA
220375900|900015301|COMERCIAL BOOKS AND BITS LTDA
001177300|900015306|INVERSIONES EL ALGARROBO LIMIT
290375900|900015309|COMERCIAL BOOKS AND BITS LTDA
720382010|900015317|VETERQUIMICA S.A. PTO.MONTT A STGO
660206700|900015318|COOPERATIVA AGRICOLA Y DE SERV ICIOS LTD
770829600|900015322|COMERCIAL E INDUSTRIAL DELVA S .A
001053392|900015325|D Y M EQUIPOS E INGENIERIA LTD A
290144720|900015329|TROTTER S.A.
600046239|900015333|SOC.DE TRANSP.AGRICOLAS LTDA
730382010|900015339|VETERQUIMICA S.A. PTO.MONTT A STGO
770382010|900015340|VETERQUIMICA S.A. PTO.MONTT A STGO
500130740|900015355|EZENTIS CHILE S.A.
260148540|900015356|EMARESA INGENIEROS Y REPRESENT ACIONES S
600868500|900015357|ENGATEL S.A.
260045269|900015364|CONCESIONES Y TURISMOS S.A
800261000|900002032|ASOCIACION DE MEJORAMIENTO MUTUO
001153030|900002033|CC IMPORTADORA Y EXPORTADORA LTDA
001151900|900002038|COMERCIAL TERCER MILENIO S.A.
969765004|900002044|RETORNO DOCUMENTAL CTAS NACION ALES
690151990|900002045|JOSE MANUEL IGNACIO OVALLE BAR ROS LAB.
260053380|900002050|TECNOLOGIA PARA EL LABORATORIO LTDA
650149830|900002052|CHILEAN MEAT PACKERS S.A.
001147850|900002054|PEUGEOT CHILE S.A.
001153730|900002055|COSMETICOS CHI-COSM LTDA
001150500|900002056|ACTIVA POP MERCHANDISING PUNTO DE VTA LT
530176850|900002057|CENTRAL DE COMPRAS DEL EXTRASI STEMA S.A
290147740|900002059|LADY MIRANDA PIZARRO
600176850|900002065|CENTRAL DE COMPRAS DEL EXTRASI STEMA S.A
001147720|900002066|IM IMPORTACIONES MEDICAS S A
001114920|900002068|DU PONT CHILE S.A
740969765|900002069|RETORNO DOCUMENTAL CTAS NACION ALES
730582000|900002071|CARLOS BURGOS ULLOA
001145800|900002072|COMPONENTES ELECTRICOS Y ELECTRONICOS S.
780159530|900002073|MG PROVEEDORES INDUSTRIALES Y CIA LTDA
001153720|900002075|STI INGENIERIA Y MONTAJES INDU STRIALES
001153740|900002076|CLINCA DENTAL CUMBRE APOQUINDO S.A.
610050774|900002079|COMERCIAL 3-ARIES LTDA
001151140|900002083|ELECTROLUX DE CHILE SA
690165250|900002085|GESTION DE CALIDAD Y LABORATOR IO S.A.
001103920|900002091|ETERSOL S.A.
001147400|900002093|TREGUEAR CHILE S.A.
001150360|900002098|GRUPO LATYN S.A
720159970|900002101|AGRICOLA EL ALMENDRO SPA
001147670|900002104|SOC. ING. ELECTR. ENERGIA Y FUERZA S.A.
001155510|900002105|MONTT Y ASOCIADOS LTDA
540176850|900002114|CENTRAL DE COMPRAS DEL EXTRASI STEMA S.A
230371300|900002115|PLASTICOS DE INGENIERIA SPA
001150200|900002116|NIKE DE CHILE LTDA.
650155710|900002117|BANADOS Y CIA S.A.
800051742|900002121|MICHELIN CHILE LTDA
001147500|900002123|SOC COMERCIAL LENNOX LTDA
001149760|900002126|GLOBOPOLIS S.A.
001165070|900002127|APM GLOBAL LOGISTIC CHILE S.A.
730148540|900002134|EMARESA INGENIEROS Y REPRESENT ACIONES S
730140380|900002135|EQUIPOS INDUSTRIALES PUERTO MO NTT LTDA.
001154530|900002139|MARIBEL MUNOZ CACERES
660176850|900002142|CENTRAL DE COMPRAS DEL EXTRASI STEMA S.A
660158890|900002144|COMERCIAL PATRICIO ALAMOS E.I. R.L.
220151350|900002147|KARLA VERONICA ARDILES ARRIAZA
001150180|900002151|SOC DE ING. Y SERVICIOS HOGG Y SERRANO 
500150190|900002153|MAURICIO A GONZALEZ ROJAS
240165030|900002155|SEGURIDAD INDUSTRIAL BECKFELL S.A.
730969765|900002157|RETORNO DOCUMENTAL CTAS NACION ALES
730158580|900002165|QUINTA S.A
001151910|900002166|MALBEC COMERCIAL Y REPUESTOS S .A
200051789|900002168|IMP Y EXP ANTOLUC LTDA
690055777|900002169|SOC COM FARMACEUTICA BRAVO CAB RERA LTD
680130590|900002170|BIOTEC CHILE S.A
001154060|900002172|FABRICA DE MAESTRANZA DEL EJER CITO
001154050|900002173|FUNDACION DIABETES JUVENIL DE CHILE
600155480|900002175|ETHON PHARMACEUTICALS SPA
001147790|900002178|AGUAS INDUSTRIALES LTDA
001147801|900002179|DISENOS,DECORACIONES Y PROD BRUTAL LTDA
001147820|900002181|FORUS S.A. SOS
780053272|900002183|PACIFICBLU SPA
001151360|900002185|PIBAMOUR LTDA
780052387|900002190|BATTERY STREET S A
001151460|900002191|COMERCIAL FIESTA TDA
001165060|900002192|VITASYSTEM LTDA
260152550|900002193|E ZUFIC LTDA
001159950|900002194|TABAQUERIAS JEREZ Y DE LA TORR E LTDA
720159940|900002195|FUNDO EL ENCANTO SPA.
001146630|900002199|CIA. CHILENA DE FOSFOROS S.A.
650143700|900002201|PRODUCTOS TORRE S.A.
001160630|900002204|CONTRUCTORA Y COMERCIALIZADORA FRESNO S.
500160620|900002205|PINTURAS VIALES Y PARQUES LTDA
690105680|900002206|TECNORED S.A.
290153640|900002209|SOCIEDAD COMERCIAL ARIBAR LTDA
001151210|900002210|SERVICIOS DE ING. Y CAPACITACI ON HECTOR
290151120|900002212|JUAN JOSE VERGARA MIRANDA
001163090|900002214|MAQUINAS Y HERRAMIENTAS BLACK  DECKER C
001150260|900002215|COMERCIAL SUPPLY FITTINGS IMPORT. LTDA
190051789|900002216|IMP Y EXP ANTOLUC LTDA
001152620|900002219|EXCAV. Y PROYECTOS DE CHILE SA
001154230|900002222|MEDITEC S.A.
260149060|900002225|INGYSER AIRE ACONDICIONADO LTD A
001149090|900002226|BRAY CONTROL S.A.
770147950|900002229|LABORATORIO SANDERSON S.A.
001152630|900002232|COMERCIALIZADORA PE SOLUC. IN DUSTRIALE
001151300|900002235|ING Y CONSTRUCCIONES MAS ERRAZ URIZ LTDA
240052098|900002237|MINERA GOLD FIELDS SALARES NOR TE SPA
500150130|900002239|BUSES DEL GRAN VALPARAISO S.A.
710150190|900002240|MAURICIO A GONZALEZ ROJAS
650151310|900002242|JAIME VERDUGO COLLARTE
720969765|900002243|RETORNO DOCUMENTAL CTAS NACION ALES
001053311|900002244|IMPRESIONES PROGRAPH SA
001152810|900002247|MC GARCIA IMPORTACIONES Y EXP LTDA
001150980|900002248|COMERCIAL CINTAMATRIX LTDA
001154630|900002249|INLAND TRANSPORTES S.A.
280052500|900002251|IND PRODUCTOS ALIMENTICIOS SA
600154680|900002260|LACTEOS DEL SUR S.A.
001145730|900002265|DISTRIBUIDORA Y COMERCIAL DIPROTEL LTDA.
730150210|900002268|SOCIEDAD COMERCIAL TECNOMECANI CA LTDA
610140570|900002269|ELABORADORA DE ALIMENTOS FRUTA LE LTDA
730052387|900002271|BATTERY STREET S A
001149900|900002276|SIMMA S.A.
750150620|900002278|SAAUT CHILE S.A
750149880|900002280|E.B SERVICIOS AUTOMOTRICEZ LTD A.
001147810|900002282|ING PROYECTOS Y MONTAJES PROPA MAT SA
750969765|900002288|RETORNO DOCUMENTAL CTAS NACION ALES
530147460|900002290|PATRICIO ERNESTO FRY VANNI
001147440|900002291|COLOMBINA DE CHILE LTDA
260149470|900002292|DROGUERIA ANTOFAGASTA LIMITADA
001149590|900002296|CGM NUCLEAR S.A.
500148990|900002298|ANTUAN JURY SA
780151530|900002300|NAVIERA AUSTRAL S.A
001149890|900002302|SOC. COMERCIAL PROSPER STORES LTDA.
500148860|900002304|EQUINTEC MAQUINARIAS LTDA
530150080|900002305|COMERCIAL S Y B LTDA
001150810|900002307|GLOBAL REPUESTOS E.I.RL.L.
001151760|900002308|CIA AGRICOLA Y FORESTAL EL ALA MO LTDA
690049629|900002309|SUMMIT CHILE IMP Y DIST DE ART DE LIBRER
001151490|900002316|COMERCIAL NEW LEADER S A
650149630|900002320|SAMUEL PATRICIO BERTONI VANZUE LA
001149800|900002321|VILLAR HNOS S.A.
730131030|900006382|BIANCHI CHILE S.A
600159310|900006383|EDITORIAL MICROBYTE LTDA
680159310|900006384|EDITORIAL MICROBYTE LTDA
280167120|900006388|EXPORT. E IMPORT. TECNICA EXIMTEC LTDA.
720151740|900006393|APL LOGISTICS JOHNSON  JOHN SON
610153810|900006401|RHEIN CHILE S.P.A
001160430|900006403|SIMMARENT S.A.
780166050|900006407|SEW EURIDRIVE CHILE LTDA
730159310|900006409|EDITORIAL MICROBYTE LTDA
730160250|900006411|INTERCARRY LOGISTICA LIMITADA
740160250|900006412|INTERCARRY LOGISTICA LIMITADA
750160250|900006413|INTERCARRY LOGISTICA LIMITADA
770160250|900006415|INTERCARRY LOGISTICA LIMITADA
260150190|900006417|MAURICIO A GONZALEZ ROJAS
001152220|900006420|PANALPINA CHILE TRANSPORTES MU NDIALES 
260167670|900006423|GADASER SERVICIOS INTEGRALES
001167680|900006424|UNIFY COMMUNICATIONS LTDA
500052866|900006425|DSV AIR  SEA S.A.
720140001|900006426|SARGENT AGRICOLA LTDA.
750151460|900006427|COMERCIAL FIESTA TDA
600411200|900006438|FLORES Y KERSTING S.A
770375500|900006447|PURATOS DE CHILE SPA
690137000|900006448|DIPROMED S.A.
300153810|900006450|RHEIN CHILE S.P.A
500621800|900006451|AUTOMOTRIZ C P M SPA
810171240|900006452|PSB S.A
690119370|900006453|TELEMERCADOS EUROPA S.A.
600737800|900006454|AGROSYSTEMS S.A.
260173170|900006455|IAN TAYLOR CHILE S.A.
001168560|900006456|DISTRIBUCION Y SERVICIOS META SA
600140001|900006457|SARGENT AGRICOLA LTDA.
730140001|900006458|SARGENT AGRICOLA LTDA.
780168570|900006459|INGEBACH LTDA
770140001|900006460|SARGENT AGRICOLA LTDA.
220168590|900006462|SOCIEDAD AGRICOLA H C LTDA
260133820|900006472|SUPERMERCADO DEL NEUMATICO LTDA
240133820|900006474|SUPERMERCADO DEL NEUMATICO LTDA
500173590|900006478|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
660173600|900006479|ROBERTO CARLOS DE LA FUENTE RA MOS
001954569|900006480|CNB- PHARMAVITA S.A
690140790|900006482|BEST HOUSE LIMITADA
620173750|900006483|MUJICA Y DOCMAC COM Y SERV ELE CT LTDA
730154060|900006484|FABRICA DE MAESTRANZA DEL EJER CITO
750140001|900006485|SARGENT AGRICOLA LTDA.
780052588|900006487|ADMINISTRADORA OXXEAN S.A.
780140001|900006488|SARGENT AGRICOLA LTDA.
001167780|900006489|LAGUNA VERDE S.A.
610140001|900006491|SARGENT AGRICOLA LTDA.
660133620|900006493|PRODUCTOS INDUSTRIALES S.A.
001051912|900006494|INVERSIONES VIENTO PUELCHE LTDA
260133620|900006495|PRODUCTOS INDUSTRIALES S.A.
500131510|900006501|CIA. CHILENA DE FOSFOROS S.A.
750162530|900006502|COMERCIAL SODA MONTT LTDA
001171020|900006504|COMERCIALIZADORA PATRICIO ANDR ADE JESAM
620531500|900006509|EMPRESA CONSTRUCTORA BELLOLIO LTDA.
650140730|900006510|VENDOMATICA S.A.
750151740|900006513|APL LOGISTICS JOHNSON  JOHN SON
220140040|900006518|LABORATORIO ARENSBURG S.A.
001155290|900006519|GRUPO BIOS S.A.
001167820|900006521|MEDULAR EBETEK SPA
290248100|900006523|PPG INDUSTRIES CHILE S.A.
690149900|900006525|SIMMA S.A.
780169250|900006529|SOCIEDAD CONST E INMOBILIARIA TRIMETAL L
001169260|900006530|REPRESENTACIONES ENCIPHARM LTD A
690171020|900006537|COMERCIALIZADORA PATRICIO ANDR ADE JESAM
770157840|900006539|SOC COMERCIALIZADOR PET MARKET
540052956|900006542|CENTRO VETERINARIO Y AGRICOLA LTDA.
770255000|900006543|DIST DE PROD DE LAB DIPROLAB L TDA.
001174710|900006544|FOTOGRAFICA FULL COLOR LTDA
001167830|900006547|REHAU SA
001167840|900006548|GE BETZ INTERNATIONAL INC CHIL E.LTDA
650140040|900006550|LABORATORIO ARENSBURG S.A.
260140040|900006552|LABORATORIO ARENSBURG S.A.
260155710|900006554|BANADOS Y CIA S.A.
500169270|900006556|RINA BORGE PODESTA
680169280|900006557|SOCOAR LTDA
780133620|900006563|PRODUCTOS INDUSTRIALES S.A.
530473600|900006574|ARTICULOS DE SEGURIDAD MASPROT SOC COMER
300103590|900006576|TRANSLOGIC S.A.
500162260|900006578|ALIMENTOS DEL MAULE S.A.
500168600|900006579|FESANCO SPA
200168560|900006581|DISTRIBUCION Y SERVICIOS META SA
230168560|900006583|DISTRIBUCION Y SERVICIOS META SA
720169770|900006588|PABLO RESKE Y CIA LTDA
660168900|900006597|EXPORTADORA COPRAMAR LTDA.
500053414|900006603|EXBE COMERCIAL BEHREND S.P.A.
750509900|900006605|SOC DE IMPORTACION Y EXPORTAC. IMPROFOR
001109400|900006606|PUBLICACIONES LO CASTILLO S.A.
280168560|900006609|DISTRIBUCION Y SERVICIOS META SA
650052956|900006610|CENTRO VETERINARIO Y AGRICOLA LTDA.
650168560|900006613|DISTRIBUCION Y SERVICIOS META SA
800140040|900006615|LABORATORIO ARENSBURG S.A.
680168560|900006616|DISTRIBUCION Y SERVICIOS META SA
001167300|900006617|LORENA TORO GEORGE
800492600|900006619|XIMENA POLANCO G.
770910200|900006620|CIA CHILENA DE FOSFOROS S A .
600685300|900006626|BIOAMERICA S.A.
001152350|900006627|IMPRESOS INDUSTRIALES S.A.
690133930|900006628|IMPORTADORA NIPON REPUESTOS LTDA.
800522800|900006631|IPESUR LTDA.
620046108|900006632|PATRICIO LIOI Y CIA LTDA
290625900|900006633|SOC DE MANUFACTURA DE EQ DENTA LES LTDA
620114920|900006634|DU PONT CHILE S.A
780174710|900006635|FOTOGRAFICA FULL COLOR LTDA
300156530|900006638|CONSTRUCTORA COSAL S.A.
740206700|900006639|COOPERATIVA AGRICOLA Y DE SERV ICIOS LTD
770157140|900006641|CELLSTAR CHILE S.A. RED FIJA Y RETIROS
001160480|900006645|APL LOGISTICS CHILE S.A. SKET CHERS
001160490|900006646|APL LOGISTICS CHILE S.A. NEWE LL
690544500|900006648|CARGO FREIGHT STATION CHILE S. A.
690133640|900006649|PRINAL S.A.
500133930|900006659|IMPORTADORA NIPON REPUESTOS LTDA.
690151360|900006660|PIBAMOUR LTDA
710148180|900006661|CARLOS GUILLERMO MOHR CAMBIAZO
730559000|900006662|SUMINISTRO DE REP Y ACCESORIOS LM LTDA
650174710|900006663|FOTOGRAFICA FULL COLOR LTDA
500174710|900006665|FOTOGRAFICA FULL COLOR LTDA
220174710|900006666|FOTOGRAFICA FULL COLOR LTDA
730174710|900006667|FOTOGRAFICA FULL COLOR LTDA
690131980|900006669|SOLDADURAS SOLTEC SPA
240131980|900006670|SOLDADURAS SOLTEC SPA
760112310|900011035|TECNIKA S.A.
720157330|900011043|CEPAS CHILE SA
260737600|900011047|IMPORTADORA BABUL LTDA.
690176400|900011048|ESCUELA DE IDIOMAS DEL SUR LTD A
260140001|900011067|SARGENT AGRICOLA LTDA.
780147670|900011068|SOC. ING. ELECTR. ENERGIA Y FUERZA S.A.
690147670|900011069|SOC. ING. ELECTR. ENERGIA Y FUERZA S.A.
001176390|900011075|AKER SOLUTIONS CHILE S.A
620176410|900011076|AGROINDUSTRIAL FRUTASOL SA
290131510|900011077|CIA. CHILENA DE FOSFOROS S.A.
240159430|900011078|EMPRESA CONSTRUCTORA AGUA SANT A
300051751|900011079|LORBRAND S.A.
680150190|900011081|MAURICIO A GONZALEZ ROJAS
730171740|900011084|INNOVACION HORTOFRUTICOLA PERM ANENTE S.
240106770|900011085|FIBRO CHILE S.A.
650131610|900011086|TESA TAPE CHILE S.A.
240174970|900011087|VIGATEC S.A.
650149201|900011094|VIA S.A
220045373|900011099|MUEBLES NOVOFARMA LTDA
220171900|900011108|AQUAMONT S.A.
500399610|900011116|NYKCOOL CHILE S.A.
620143610|900011117|MACO INTERNATIONAL S.A.
680149030|900011131|RIEGOSISTEMAS NETAFIM LIMITADA
770130740|900011133|EZENTIS CHILE S.A.
730053270|900011144|FRESENIUS KABI CHILE LIMITADA
690166740|900011167|MALTEXCO S.A.
690147720|900011168|IM IMPORTACIONES MEDICAS S A
001052595|900011174|RADIO VICTORIA S.A.
500175370|900011175|TECNOLOGIA EN MAQUINARIA ELEC TRICA LTDA
001175380|900011178|TERMOPRO S.P.A.
001175390|900011179|HEAVY DUTY INGENIEROS CONSULTO RES LTDA
001175400|900011180|SACYR CHILE S.A
500144650|900011181|MABU S.A.
500133940|900011182|POLITEC S.A.
780153860|900011199|A.W. FABER-CASTELL CHILE S.A.
650175280|900011201|MULTITECNICA S.A.
500155690|900011202|COMERCIAL CANADA CHEMICALS S A
240699100|900011203|COMERCIAL NIZUM LTDA.
290156790|900011210|BREDENMASTER CHILE S.A.
690015399|900011212|TAPEL WILLAMETTE INC S.A.
001024740|900011220|SOLUCIONES BIOTECNOLOGICAS LTD A
680052097|900011224|WORLD VISION INTERNATIONAL
001174970|900011225|VIGATEC S.A.
220144450|900011226|BESALCO MD MONTAJES S.A.
300143320|900011227|ELECTROTEL LTDA.
820834800|900011229|BANCO FALABELLA
220173590|900011230|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
240173590|900011231|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
230173590|900011232|SERVICIOS MARITIMOS Y TRANSPOR TES LTDA
001174830|900011233|ARQUITECTURA INDUSTRIAL VERSAM CHILE
300375500|900011234|PURATOS DE CHILE SPA
520131980|900011237|SOLDADURAS SOLTEC SPA
300168990|900011239|COM INGECSA LTDA
690165610|900011241|COMERCIAL PIRAMIDE SPA.
290176620|900011242|INGENIERIA ELECTRICA Y COMERCI AL LTDA
220176630|900011243|VINA FALERNIA S A 
220107900|900011245|INTERCARRY LOGISTICA LIMITADA
001175480|900011249|ULTRAMED SPA
520175470|900011252|CONSERVAS CENTAURO S.A.
001175490|900011253|COMERCIAL ANALAB CHILE S.A.
650174970|900011254|VIGATEC S.A.
000000000|900011257|TNT TRANSPORT INTERNATIONAL BV
000000000|900011257|TNT TRANSPORT INTERNATIONAL BV
000000000|900011257|PATRCICIO FERNANDEZ
780167780|900011258|LAGUNA VERDE S.A.
530157571|900011259|RETORNO DOCUMENTAL CTAS NACION ALES
800160420|900011260|SERGIO SERON VASQUEZ
220144130|900011262|CIRCUS PROMOCIONES LTDA.
520781800|900011265|SYNGENTA S.A
240150040|900011266|RIO PUELO S.A.
200146001|900011267|TRANSPORTES TOSSA LTDA
001723200|900011280|VERIFICACION E INVERSIONES PUBLICITARIAS
001052633|900011282|CIRIGLIANO TRADE  MARKETING LTDA
690045466|900011284|COMERCIAL VECON LTDA
001171700|900011291|IMPORTADORA Y COM E BOOKS SA
001171710|900011292|ESTANTERIAS DEL MERCOSUR S.A
200175000|900011294|SOC. COM. E INVERSIONES MALCOR LTDA.
190163090|900011307|MAQUINAS Y HERRAMIENTAS BLACK  DECKER CH
520169860|900011310|AG DE ADUANA HERNAN TELLERIA Y
220051455|900011311|F G M AROMET ET BEAUTE S.A
770427700|900015374|TRANSP.DE COMBUSTIBLES CH
300153920|900015375|NIPRO MEDICAL CORPORATION AG. CHILE
200130640|900015378|COLGATE PALMOLIVE CHILE S.A.
220155050|900015379|IMPORTADORA COSTABAL Y ECHENIQ UE S.A.
730413000|900015397|ESPINOZA Y ARANCIBIA LTDA
770423100|900015401|AMILAB ARTICULOS MEDICOS Y DE LABORATORI
750423100|900015404|AMILAB ARTICULOS MEDICOS Y DE LABORATORI
290045527|900015408|FERNANDO GABRIEL PIAZZETTA LON GUEIRA
750413000|900015421|ESPINOZA Y ARANCIBIA LTDA
780413000|900015423|ESPINOZA Y ARANCIBIA LTDA
750107600|900015424|PINTURAS HEMPEL DE CHILE
650429700|900015431|LINDE HIGH LIFT CHILE S.A.
750404300|900015433|LABORATORIOS MICROSULES CHILE S.A.
770149160|900015441|OVALLE HERMANOS LTDA
260429700|900015446|LINDE HIGH LIFT CHILE S.A.
690429700|900015447|LINDE HIGH LIFT CHILE S.A.
710429700|900015448|LINDE HIGH LIFT CHILE S.A.
001030894|900015455|DERCOCENTER S.A.
260149800|900015458|VILLAR HNOS S.A.
